Species	GeneID	Length_aa	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs_eggnog	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs_eggnog	COG_description	GOs_interproscan	GOs_union	InterPro_IDs	InterPro_description	Domains	n_domains	iprscan_hit
Fusarium_aberrans__CBS_119866	g32.t1	352	5127.CCT69564	1.47e-182	518.0	"2CCI7@1|root,2QTGV@2759|Eukaryota,390DQ@33154|Opisthokonta,3PHNZ@4751|Fungi,3RK2R@4890|Ascomycota,21QNE@147550|Sordariomycetes,3TU2P@5125|Hypocreales,1FZIP@110618|Nectriaceae"	4751|Fungi	S	7 transmembrane receptor (Secretin family)	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0004888,GO:0004930,GO:0005886,GO:0007166,GO:0007189,GO:0016020"	"GO:0004888,GO:0004930,GO:0005886,GO:0007166,GO:0007189,GO:0016020"	IPR017981	"GPCR, family 2-like, 7TM"	Gene3D:G3DSA:1.20.1070.10; PANTHER:PTHR23112; Pfam:PF05462; ProSiteProfiles:PS50261; SUPERFAMILY:SSF81321	5	1
Fusarium_aberrans__CBS_119866	g33.t1	630	5507.FOXG_07444P0	0.0	957.0	"COG0154@1|root,KOG1211@2759|Eukaryota,39S5R@33154|Opisthokonta,3NVR9@4751|Fungi,3QJQJ@4890|Ascomycota,218S1@147550|Sordariomycetes,3TH7J@5125|Hypocreales,1FP5S@110618|Nectriaceae"	4751|Fungi	J	Amidase	-	-	-	-	-	-	-	-	-	-	-	-	-	"J:Translation, ribosomal structure and biogenesis"	-	-	"IPR023631,IPR036928"	Amidase signature (AS) superfamily; Amidase signature domain	Gene3D:G3DSA:3.90.1300.10; PANTHER:PTHR46310; Pfam:PF01425; SUPERFAMILY:SSF75304	4	1
Fusarium_aberrans__CBS_119866	g34.t1	353	117187.FVEG_11858T0	1.09e-219	610.0	"COG0451@1|root,KOG1502@2759|Eukaryota,39RSR@33154|Opisthokonta,3P125@4751|Fungi,3QTS0@4890|Ascomycota,214M6@147550|Sordariomycetes,3TFCU@5125|Hypocreales,1FRJG@110618|Nectriaceae"	4751|Fungi	V	"GDP-mannose 4,6 dehydratase"	-	-	-	-	-	-	-	-	-	-	-	-	-	V:Defense mechanisms	GO:0016616	GO:0016616	"IPR001509,IPR036291,IPR050425"	NAD(P)-binding domain superfamily; NAD(P)-dependent dehydratase-like; NAD-dependent epimerase/dehydratase	Gene3D:G3DSA:3.40.50.720; PANTHER:PTHR10366; Pfam:PF01370; SUPERFAMILY:SSF51735	4	1
Fusarium_aberrans__CBS_119866	g35.t1	404	117187.FVEG_11859T0	2e-266	732.0	"COG0654@1|root,KOG2614@2759|Eukaryota,39VBU@33154|Opisthokonta,3NY6Z@4751|Fungi,3RMUK@4890|Ascomycota,21Q6R@147550|Sordariomycetes,3TTTU@5125|Hypocreales,1FNNI@110618|Nectriaceae"	4751|Fungi	C	FAD binding domain	-	-	-	-	-	-	-	-	-	-	-	-	-	C:Energy production and conversion	GO:0071949	GO:0071949	"IPR002938,IPR036188"	FAD-binding domain; FAD/NAD(P)-binding domain superfamily	Gene3D:G3DSA:3.50.50.60; PANTHER:PTHR47178; PRINTS:PR00420; Pfam:PF01494; SUPERFAMILY:SSF51905	5	1
Fusarium_aberrans__CBS_119866	g36.t1	347	5507.FOXG_13430P0	4.92e-243	668.0	"COG0657@1|root,KOG1515@2759|Eukaryota,39WRU@33154|Opisthokonta,3P1JI@4751|Fungi,3QK4Z@4890|Ascomycota,213FZ@147550|Sordariomycetes,3TGCJ@5125|Hypocreales,1FRSN@110618|Nectriaceae"	4751|Fungi	V	alpha/beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	-	V:Defense mechanisms	GO:0016787	GO:0016787	"IPR013094,IPR029058,IPR050300"	Alpha/Beta hydrolase fold; Alpha/beta hydrolase fold-3; GDXG lipolytic enzyme	Gene3D:G3DSA:3.40.50.1820; PANTHER:PTHR48081; Pfam:PF07859; SUPERFAMILY:SSF53474	4	1
Fusarium_aberrans__CBS_119866	g37.t1	579	5127.CCT67568	0.0	892.0	"2B9I6@1|root,2S0U0@2759|Eukaryota,39ZNP@33154|Opisthokonta,3P1BH@4751|Fungi,3QTHS@4890|Ascomycota,212RH@147550|Sordariomycetes,3TF4N@5125|Hypocreales,1FRXN@110618|Nectriaceae"	4751|Fungi	S	Fungal specific transcription factor domain	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0000981,GO:0006355,GO:0008270"	"GO:0000981,GO:0006355,GO:0008270"	"IPR001138,IPR021858,IPR036864"	Fungal transcription factor; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain	Gene3D:G3DSA:4.10.240.10; PANTHER:PTHR37534; Pfam:PF00172; Pfam:PF11951; ProSitePatterns:PS00463; ProSiteProfiles:PS50048; SMART:SM00066; SUPERFAMILY:SSF57701	8	1
Fusarium_aberrans__CBS_119866	g38.t1	411	5518.FGSG_04722P0	3.36e-289	790.0	"COG0654@1|root,KOG2614@2759|Eukaryota,39SJS@33154|Opisthokonta,3NVH7@4751|Fungi,3QMM7@4890|Ascomycota,2186Y@147550|Sordariomycetes,3TFJ3@5125|Hypocreales,1FPP0@110618|Nectriaceae"	4751|Fungi	C	FAD binding domain	-	-	1.14.13.1	ko:K00480	"ko00621,ko00624,ko00626,ko01100,ko01120,ko01220,map00621,map00624,map00626,map01100,map01120,map01220"	-	"R00818,R05632,R06915,R06936,R06939"	RC00389	"ko00000,ko00001,ko01000"	-	-	-	-	C:Energy production and conversion	"GO:0004497,GO:0071949"	"GO:0004497,GO:0071949"	"IPR002938,IPR036188,IPR050493"	FAD-binding domain; FAD-dependent Monooxygenases in Biosynthesis and Metabolism; FAD/NAD(P)-binding domain superfamily	Gene3D:G3DSA:3.50.50.60; PANTHER:PTHR13789; PRINTS:PR00420; Pfam:PF01494; Pfam:PF13450; SUPERFAMILY:SSF51905; SUPERFAMILY:SSF54373	7	1
Fusarium_aberrans__CBS_119866	g39.t1	482	5518.FGSG_04723P0	1.28e-314	861.0	"COG0477@1|root,KOG2533@2759|Eukaryota,38EDR@33154|Opisthokonta,3NU3S@4751|Fungi,3QKDF@4890|Ascomycota,218ZZ@147550|Sordariomycetes,3THA5@5125|Hypocreales,1FTNJ@110618|Nectriaceae"	4751|Fungi	G	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	-	G:Carbohydrate transport and metabolism	"GO:0016020,GO:0022857,GO:0055085"	"GO:0016020,GO:0022857,GO:0055085"	"IPR011701,IPR020846,IPR036259"	MFS transporter superfamily; Major facilitator superfamily; Major facilitator superfamily domain	Gene3D:G3DSA:1.20.1250.20; PANTHER:PTHR43791; Pfam:PF07690; ProSiteProfiles:PS50850; SUPERFAMILY:SSF103473	5	1
Fusarium_aberrans__CBS_119866	g40.t1	295	5518.FGSG_02294P0	2.18e-118	348.0	"2ERB2@1|root,2SU5G@2759|Eukaryota,3ATMW@33154|Opisthokonta,3PGM5@4751|Fungi,3R4HG@4890|Ascomycota,21BWF@147550|Sordariomycetes,3TTM7@5125|Hypocreales,1FWYP@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g41.t1	414	101028.EKJ76062	1.97e-17	92.4	"29367@1|root,2RA34@2759|Eukaryota,3AWGY@33154|Opisthokonta,3PIDF@4751|Fungi,3R5TS@4890|Ascomycota,21GSX@147550|Sordariomycetes,3TNYA@5125|Hypocreales,1FV5E@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g42.t1	611	101028.EKJ76063	0.0	1180.0	"KOG0254@1|root,KOG0254@2759|Eukaryota,39SCG@33154|Opisthokonta,3P0C5@4751|Fungi,3QQG7@4890|Ascomycota,21EGJ@147550|Sordariomycetes,3TKD0@5125|Hypocreales,1FNET@110618|Nectriaceae"	4751|Fungi	P	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	-	-	-	ko:K08141	-	-	-	-	"ko00000,ko02000"	2.A.1.1	-	-	-	P:Inorganic ion transport and metabolism	"GO:0005351,GO:0008643,GO:0016020,GO:0022857,GO:0055085"	"GO:0005351,GO:0008643,GO:0016020,GO:0022857,GO:0055085"	"IPR005828,IPR005829,IPR020846,IPR036259,IPR050360"	"MFS transporter superfamily; Major Facilitator Superfamily Sugar Transporters; Major facilitator superfamily domain; Major facilitator, sugar transporter-like; Sugar transporter, conserved site"	Gene3D:G3DSA:1.20.1250.20; PANTHER:PTHR48022; Pfam:PF00083; ProSitePatterns:PS00217; ProSiteProfiles:PS50850; SUPERFAMILY:SSF103473	6	1
Fusarium_aberrans__CBS_119866	g43.t1	358	5518.FGSG_02291P0	3.19e-229	634.0	"COG1064@1|root,KOG0023@2759|Eukaryota,38FSY@33154|Opisthokonta,3P0JC@4751|Fungi,3QPZP@4890|Ascomycota,21P18@147550|Sordariomycetes,3TMKS@5125|Hypocreales,1FP5W@110618|Nectriaceae"	4751|Fungi	Q	Alcohol dehydrogenase GroES-like domain	-	-	1.1.1.1	ko:K13953	"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"	-	"R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310"	"RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273"	"ko00000,ko00001,ko01000"	-	-	-	-	"Q:Secondary metabolites biosynthesis, transport and catabolism"	"GO:0004022,GO:0005737,GO:0016491"	"GO:0004022,GO:0005737,GO:0016491"	"IPR011032,IPR013149,IPR013154,IPR020843,IPR036291"	"Alcohol dehydrogenase-like, C-terminal; Alcohol dehydrogenase-like, N-terminal; Enoylreductase domain; GroES-like superfamily; NAD(P)-binding domain superfamily"	Gene3D:G3DSA:3.40.50.720; Gene3D:G3DSA:3.90.180.10; PANTHER:PTHR42940; Pfam:PF00107; Pfam:PF08240; SMART:SM00829; SUPERFAMILY:SSF50129; SUPERFAMILY:SSF51735	8	1
Fusarium_aberrans__CBS_119866	g44.t1	600	5127.CCT67867	4.91e-128	394.0	"2F315@1|root,2T402@2759|Eukaryota,38XRA@33154|Opisthokonta,3PXA6@4751|Fungi,3RGAD@4890|Ascomycota,21IBS@147550|Sordariomycetes,3TNXJ@5125|Hypocreales,1FV33@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GO:0005515	GO:0005515	"IPR002110,IPR036770"	Ankyrin repeat; Ankyrin repeat-containing domain superfamily	Gene3D:G3DSA:1.25.40.20; ProSiteProfiles:PS50088; SUPERFAMILY:SSF48403	3	1
Fusarium_aberrans__CBS_119866	g45.t1	378	36033.XP_001644082.1	3.08e-24	110.0	"29W34@1|root,2RXNI@2759|Eukaryota,39VV7@33154|Opisthokonta,3Q3SX@4751|Fungi,3QYF4@4890|Ascomycota,3RXUS@4891|Saccharomycetes,3S2MR@4893|Saccharomycetaceae"	4751|Fungi	S	to Saccharomyces cerevisiae YDL237W	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0006629,GO:0008081"	"GO:0006629,GO:0008081"	"IPR017946,IPR051236"	"Histone acetyltransferase RTT109-like; PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily"	PANTHER:PTHR31571; SUPERFAMILY:SSF51695	2	1
Fusarium_aberrans__CBS_119866	g46.t1	696	5507.FOXG_03887P0	0.0	1293.0	"COG1960@1|root,KOG0136@2759|Eukaryota,38BTU@33154|Opisthokonta,3NUCQ@4751|Fungi,3QMQ8@4890|Ascomycota,216VH@147550|Sordariomycetes,3TEEX@5125|Hypocreales,1FNTQ@110618|Nectriaceae"	4751|Fungi	I	acyl-CoA oxidase	-	-	1.3.3.6	ko:K00232	"ko00071,ko00592,ko01040,ko01100,ko01110,ko01212,ko03320,ko04024,ko04146,map00071,map00592,map01040,map01100,map01110,map01212,map03320,map04024,map04146"	"M00087,M00113"	"R01175,R01279,R03777,R03857,R03990,R04751,R04754,R07888,R07892,R07896,R07934,R07950"	"RC00052,RC00076"	"ko00000,ko00001,ko00002,ko01000"	-	-	-	-	I:Lipid transport and metabolism	"GO:0003997,GO:0005504,GO:0005777,GO:0006631,GO:0006635,GO:0016627,GO:0033540,GO:0050660,GO:0055088,GO:0071949"	"GO:0003997,GO:0005504,GO:0005777,GO:0006631,GO:0006635,GO:0016627,GO:0033540,GO:0050660,GO:0055088,GO:0071949"	"IPR002655,IPR006091,IPR009100,IPR012258,IPR029320,IPR036250,IPR037069,IPR046373,IPR055060"	"Acyl-CoA dehydrogenase-like, C-terminal; Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily; Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily; Acyl-CoA oxidase; Acyl-CoA oxidase, C-alpha1 domain; Acyl-CoA oxidase, C-terminal; Acyl-CoA oxidase/dehydrogenase, middle domain; Acyl-CoA oxidase/dehydrogenase, middle domain superfamily; Acyl-coenzyme A oxidase, N-terminal"	Gene3D:G3DSA:1.10.540.10; Gene3D:G3DSA:1.20.140.10; Gene3D:G3DSA:2.40.110.10; PANTHER:PTHR10909; Pfam:PF01756; Pfam:PF02770; Pfam:PF14749; Pfam:PF22924; SUPERFAMILY:SSF47203; SUPERFAMILY:SSF56645	10	1
Fusarium_aberrans__CBS_119866	g47.t1	227	5507.FOXG_03889P0	1.2e-98	293.0	"28IBM@1|root,2QQN3@2759|Eukaryota,39U4Z@33154|Opisthokonta,3P04E@4751|Fungi,3QMG1@4890|Ascomycota,2190H@147550|Sordariomycetes,3TJN8@5125|Hypocreales,1FQKC@110618|Nectriaceae"	4751|Fungi	O	"Glutathione S-transferase, C-terminal domain"	-	-	-	-	-	-	-	-	-	-	-	-	-	"O:Posttranslational modification, protein turnover, chaperones"	GO:0005737	GO:0005737	"IPR004045,IPR036249,IPR036282,IPR050983,IPR054416"	"Glutathione S-transferase Omega/HSP26; Glutathione S-transferase UstS-like , C-terminal domain; Glutathione S-transferase, C-terminal domain superfamily; Glutathione S-transferase, N-terminal; Thioredoxin-like superfamily"	Gene3D:G3DSA:1.20.1050.10; Gene3D:G3DSA:3.40.30.10; PANTHER:PTHR43968; Pfam:PF13409; Pfam:PF22041; SUPERFAMILY:SSF47616; SUPERFAMILY:SSF52833	7	1
Fusarium_aberrans__CBS_119866	g48.t1	286	5518.FGSG_02284P0	3.75e-184	514.0	"2991U@1|root,2RG37@2759|Eukaryota,3AQ63@33154|Opisthokonta,3PGCT@4751|Fungi,3R80P@4890|Ascomycota,21SUB@147550|Sordariomycetes,3TNPX@5125|Hypocreales,1FMZV@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"IPR016181,IPR052523"	Acyl-CoA N-acyltransferase; Trichothecene Biosynthesis Acetyltransferases	Gene3D:G3DSA:3.40.630.30; PANTHER:PTHR42791; SUPERFAMILY:SSF55729	3	1
Fusarium_aberrans__CBS_119866	g49.t1	314	882083.SacmaDRAFT_5634	3.92e-08	61.6	"COG0300@1|root,COG0300@2|Bacteria,2GKJE@201174|Actinobacteria,4E0RD@85010|Pseudonocardiales"	201174|Actinobacteria	S	Belongs to the short-chain dehydrogenases reductases (SDR) family	-	-	-	ko:K07124	-	-	-	-	ko00000	-	-	-	-	S:Function unknown	"GO:0005783,GO:0016491"	"GO:0005783,GO:0016491"	"IPR002347,IPR036291,IPR051019"	NAD(P)-binding domain superfamily; Short-chain dehydrogenase/reductase SDR; VLCFA Elongation and Steroid Dehydrogenase	Gene3D:G3DSA:3.40.50.720; PANTHER:PTHR43899; Pfam:PF00106; SUPERFAMILY:SSF51735	4	1
Fusarium_aberrans__CBS_119866	g50.t1	304	101028.EKJ76072	8.03e-174	489.0	"2EI1T@1|root,2SNJP@2759|Eukaryota,3A2HS@33154|Opisthokonta,3P2TW@4751|Fungi,3QV65@4890|Ascomycota,21PNQ@147550|Sordariomycetes,3TSXN@5125|Hypocreales,1FZ83@110618|Nectriaceae"	4751|Fungi	S	NAD(P)H-binding	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR008030,IPR036291,IPR051609"	NAD(P)-binding domain superfamily; NmrA-like domain; NmrA-type/Isoflavone reductase-like domain-containing protein	Gene3D:G3DSA:3.40.50.720; PANTHER:PTHR47706; Pfam:PF05368; SUPERFAMILY:SSF51735	4	1
